电影名,类型,产地,主演,上映日期,时长,carrot,apple,coconut,orange
战狼2,动作/战争,中国内地,吴京/弗兰克·克罗里,2017年7月27日,123min,98, , , 
流浪地球,科幻/冒险,中国内地,吴京/屈楚萧/李光洁/吴孟达/赵今麦,2019年2月5日,125min,97, , , 
美人鱼,喜剧/爱情/科幻,中国内地/中国香港,邓超/罗志祥/张雨绮/林允,2016年2月8日,93min,86, , , 
速度与激情8,动作/犯罪,美国,范·迪塞尔/道恩·强森/查理兹·塞隆/杰森·斯坦森/米歇尔·罗德里格兹,2017年4月14日,136min,94, , , 
捉妖记,奇幻/喜剧,中国内地/中国香港,井柏然/白百何,2015年7月16日,118min,96, , , 
速度与激情7,动作/犯罪,美国/日本,范·迪塞尔/保罗·沃克/杰森·斯坦森/道恩·强森,2015年4月12日,137min,85, , , 
羞羞的铁拳,喜剧,中国内地,艾伦/马丽/沈腾/田雨,2017年9月30日,100min,93, , , 
变形金刚4：绝迹重生,科幻/动作/冒险,美国,马克·沃尔伯格/妮可拉·佩尔茨/杰克·莱诺/李冰冰/斯坦利·图齐,2014年6月27日,166min,89, , , 
前任3：再见前任,爱情/喜剧,中国内地,韩庚/郑恺/于文文/曾梦雪/罗米,2017年12月29日,120min,87, , , 
功夫瑜伽,动作/冒险/喜剧,印度/中国内地,成龙/李治廷/张艺兴/母其弥雅,2017年1月28日,108min,76, , , 
寻龙诀,动作/冒险/惊悚,中国内地/中国香港,陈坤/黄渤/舒淇,2015年12月18日,125min,78, , , 
西游伏妖篇,奇幻/喜剧/动作,中国香港/中国内地,吴亦凡/林更新/姚晨/林允,2017年1月28日,108min,98, , , 
港囧,喜剧,中国内地,徐峥/赵薇/包贝尔/杜鹃,2015年9月25日,114min,65, , , 
变形金刚5：最后的骑士,动作/冒险/科幻,美国,马克·沃尔伯格/安东尼·霍普金斯/劳拉·哈德克/伊莎贝拉·莫奈/彼特·库伦,2017年6月23日,150min,56, , , 
疯狂动物城,动画/冒险,美国,金妮弗·古德温/杰森·贝特曼/J·K·西蒙斯/珍妮·斯蕾特,2016年3月4日,108min,87, , , 
魔兽,动作/冒险/奇幻,美国,崔维斯·费米尔/托比·凯贝尔/宝拉·巴顿/吴彦祖,2016年6月8日,124min,69, , , 
复仇者联盟2：奥创纪元,科幻/动作/冒险,美国,小罗伯特·唐尼/克里斯·埃文斯/克里斯·海姆斯沃斯/斯嘉丽·约翰逊/马克·鲁法洛/杰瑞米·雷纳/詹姆斯·斯派德/亚伦·泰勒-约翰逊,2015年5月12日,141min,78, , , 
夏洛特烦恼,喜剧/爱情/青春,中国内地,沈腾/马丽,2015年9月30日,104min,56, , , 
芳华,剧情/爱情/战争,中国内地,黄轩/苗苗/钟楚曦/杨采钰/李晓峰,2017年12月15日,136min,79, , , 
侏罗纪世界,动作/冒险/科幻/惊悚,美国,克里斯·帕拉特/布莱丝·达拉斯·霍../尼克·罗宾逊/泰·辛普金斯,2015年6月10日,124min,87, , , 
我和我的家乡,剧情/喜剧,中国内地,宁浩/徐峥/陈思诚/闫非/彭大魔/邓超/俞白眉,2020年10月1日,153min,97, , , 
姜子牙,动画/冒险/奇幻,中国内地,程腾/李炜/李夏/王昕,2020年1月25日,90min,76, , , 
夺冠,剧情/励志,中国内地/中国香港,巩俐/黄渤/吴刚/彭昱畅/白浪,2020年1月25日,135min,97, , , 
哪吒之魔童降世,动画/喜剧/动作,中国内地,吕艳婷/囧森瑟夫/瀚墨/陈浩/绿绮,2019年7月26日,110min,76, , , 
人再囧途之泰囧,喜剧,中国内地,徐峥/王宝强/黄渤,2012年12月12日,105min,69, , , 
复仇者联盟4：终局之战,科幻/动作/冒险,美国,小罗伯特·唐尼/克里斯·埃文斯/克里斯·海姆斯沃斯/布丽·拉尔森/乔什·布洛林/查德维克·博斯曼/斯嘉丽·约翰逊,2019年4月24日,181min,97, , , 
我和我的祖国,剧情,中国内地,黄渤/张译/杜江/葛优/宋佳,2019年9月30日,158min,67, , , 
中国机长,剧情,中国内地,张涵予/欧豪/杜江,2019年9月30日,111min,87, , , 
疯狂的外星人,喜剧/科幻,中国内地,黄渤/沈腾/徐峥/马修·莫里森/汤姆·派福瑞/凯特·纳尔逊,2019年2月5日,116min,87, , , 
飞驰人生,喜剧/动作,中国内地,沈腾/黄景瑜/尹正/张本煜/尹昉,2019年2月5日,98min,86, , , 
烈火英雄,动作/爱情,中国内地,黄晓明/杜江/谭卓/杨紫/欧豪,2019年8月1日,120min,97, , , 
少年的你,爱情/青春,中国内地,周冬雨/易烊千玺/尹昉/黄觉/吴越,2019年10月25日,138min,87, , , 
蜘蛛侠：英雄远征,动作/科幻/冒险,美国,汤姆·赫兰德/杰克·吉伦哈尔/塞缪尔·杰克逊/赞达亚/玛丽莎·托梅,2019年6月28日,135min,75, , , 
速度与激情：特别行动,动作/冒险/犯罪,美国,道恩·强森，杰森·斯坦森，凡妮莎·柯比，伊德瑞斯·艾尔巴，艾莎·冈萨雷斯,2019年8月23日,134min,81, , , 
扫毒2：天地对决,动作/犯罪/悬疑/剧情,中国香港/中国内地,古天乐,2019年7月5日,99min,92, , , 
大黄蜂,动作/科幻/冒险,美国,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/迪伦·奥布莱恩/杰森·德拉克,2019年1月4日,114min,72, , , 
攀登者,剧情,中国内地,吴京/章子怡/张译/井柏然/胡歌/王景春/何琳/成龙,2019年9月30日,125min,85, , , 
惊奇队长,动作/科幻/冒险,美国,布丽·拉尔森/塞缪尔·杰克逊/裘德·洛/麦肯纳·格蕾丝/嘉玛·陈/李·佩斯,2019年3月8日,124min,95, , , 
哥斯拉2：怪兽之王,动作/科幻,美国,维拉·法梅加/凯尔·钱德勒/米莉·博比·布朗/渡边谦/章子怡/查里斯·丹斯/莎莉·霍金斯,2019年5月31日,132min,91, , , 
银河补习班,剧情,中国内地,邓超/白宇/任素汐/王西/孙浠伦,2019年7月18日,147min,92, , , 
阿丽塔：战斗天使,动作/科幻/冒险,美国,罗莎·萨拉扎尔/克里斯托弗·瓦尔兹/基恩·约翰逊/马赫沙拉·阿里/詹妮弗·康纳利/艾德·斯克林,2019年2月22日,122min,83, , , 
误杀,剧情/犯罪,中国内地,肖央/谭卓/陈冲/姜皓文,2019年12月13日,112min,85, , , 
狮子王,动画/剧情/冒险,美国,唐纳德·格洛沃/詹姆斯·厄尔·琼斯/碧昂丝·诺尔斯/切瓦特·埃加福特,2019年7月12日,118min,80, , , 
冰雪奇缘2,动画/冒险,美国,伊迪娜·门泽尔/克里斯汀·贝尔/乔什·盖德,2019年11月22日,103min,79, , , 
反贪风暴4,动作/犯罪,中国内地/中国香港,古天乐/郑嘉颖/林峯/林家栋/周秀娜,2019年4月4日,98min,71, , , 
叶问4：完结篇,动作/剧情,中国内地/中国香港,甄子丹、吴樾、吴建豪、斯科特·阿金斯、郑则士、陈国坤、敖嘉年、高战、李宛妲,2019年12月20日,107min,73, , , 
熊出没·原始时代,动画/喜剧/冒险,中国内地,张伟/宋祖儿/张秉君/谭笑/刘思奇,2019年2月5日,91min,75, , , 
使徒行者2：谍影行动,动作/悬疑/犯罪,中国内地/中国香港,苗侨伟、陈豪、宣萱、周柏豪、袁伟豪、黄翠如、许绍雄、麦明诗,2019年8月7日,97min,76, , , 
大侦探皮卡丘,动画/奇幻/悬疑,美国/日本,瑞安·雷诺兹/贾斯提斯·史密斯/雷佳音/凯瑟琳·纽顿/渡边谦/苏琪·沃特豪斯/比尔·奈伊,2019年5月10日,104min,81, , , 
新喜剧之王,喜剧,中国内地/中国香港,王宝强/鄂靖文/张全蛋/景如洋,2019年2月5日,91min,89, , , 
千与千寻,动画/冒险/奇幻,日本,柊瑠美/入野自由/夏木真理/内藤刚志/神木隆之介,2019年6月21日,125min,78, , , 
绿皮书,剧情/喜剧/传记,美国,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫,2019年3月1日,130min,79, , , 
白蛇：缘起,动画/爱情,中国内地/美国,张喆/杨天翔/唐小喜/张遥函,2019年1月11日,95min,78, , , 
最好的我们,爱情/青春,中国内地,陈飞宇/何蓝逗/惠英红/周楚濋,2019年6月6日,110min,93, , , 
X战警：黑凤凰,动作/冒险/科幻,美国,索菲·特纳/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/杰西卡·查斯坦/尼古拉斯·霍尔特,2019年6月6日,114min,92, , , 
蜘蛛侠：平行宇宙,动作/动画/冒险,美国,沙美克·摩尔/海莉·斯坦菲尔德/杰克·M·约翰森/列维·施瑞博尔/尼古拉斯·凯奇/约翰·木兰尼,2018年12月21日,116min,89, , , 
红海行动,动作/剧情/犯罪,中国内地/中国香港,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/郭家豪/王雨甜/麦亨利,2018年2月16日,138min,89, , , 
唐人街探案2,喜剧/动作/悬疑,中国内地,王宝强/刘昊然/肖央/刘承羽,2018年2月16日,120min,67, , , 
我不是药神,剧情/喜剧,中国内地,徐峥/周一围/王传君/谭卓/章宇/杨新鸣,2018年7月5日,96min,68, , , 
西虹市首富,喜剧,中国内地,沈腾/宋芸桦,2018年7月27日,118min,84, , , 
复仇者联盟3：无限战争,动作/科幻/奇幻/冒险,美国,小罗伯特·唐尼/克里斯·埃文斯/克里斯·海姆斯沃斯/乔什·布洛林/马克·鲁法洛/本尼迪克特·康伯巴奇/汤姆·赫兰德/斯嘉丽·约翰逊,2018年5月11日,150min,82, , , 
捉妖记2,奇幻/喜剧,中国香港/中国内地,梁朝伟/白百何/井柏然/李宇春/杨祐宁,2018年2月16日,111min,91, , , 
毒液：致命守护者,动作/科幻/惊悚,美国,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德,2018年11月9日,107min,72, , , 
